0203,9499|0184,9498|0205,4372|0184,9498|I
0389,9499|0184,5498|0397,3811|0184,5498|AR
0389,9499|0177,0998|0396,4876|0177,0998|CJ
0389,9499|0169,6497|0398,2745|0169,6497|QO
0389,9499|0162,1997|0397,6753|0162,1997|RN
0389,9499|0154,7497|0397,3811|0154,7497|TQ
0389,9499|0147,2997|0397,3811|0147,2997|XR
0370,6999|0184,5497|0387,0602|0184,5497|949,60
0370,6999|0177,0997|0387,0602|0177,0997|475,10
0370,6999|0169,6497|0387,0602|0169,6497|399,00
0370,6999|0162,1997|0387,0602|0162,1997|542,70
0370,6999|0154,7497|0387,0602|0154,7497|399,00
0366,2499|0147,2997|0387,0721|0147,2997|1.955,10
0571,5999|0184,9496|0582,0110|0184,9496|0,00
0625,5999|0184,9496|0636,0110|0184,9496|0,00
0643,9499|0184,9496|0654,3610|0184,9496|0,00
0065,9499|0140,2496|0104,5876|0140,2496|TOUR: AMCOM
0221,9499|0128,8496|0229,3810|0128,8496|CA
0023,1999|0129,2496|0032,1237|0129,2496|139
0041,9499|0129,2496|0055,3249|0129,2496|TKTT
0065,9499|0129,2496|0095,6959|0129,2496|3146574625
0149,9499|0129,2496|0163,0253|0129,2496|FFFF
0262,7999|0129,2496|0288,0840|0129,2496| 18.286,50
0316,7999|0129,2496|0342,0840|0129,2496| 13.566,00
0790,7999|0129,2496|0816,0840|0129,2496| 18.286,50
0696,0999|0129,2496|0707,9983|0129,2496| 0,00
0113,9499|0129,2496|0137,4417|0129,2496|27NOV18
0532,7999|0129,2496|0558,0840|0129,2496| 13.566,00
0203,9499|0129,2496|0205,4372|0129,2496|I
0389,9499|0128,8496|0397,3811|0128,8496|AR
0389,9499|0121,3996|0396,4876|0121,3996|CJ
0389,9499|0113,9496|0398,2745|0113,9496|QO
0389,9499|0106,4996|0397,6753|0106,4996|RN
0389,9499|0099,0496|0397,3811|0099,0496|TQ
0389,9499|0091,5996|0397,3811|0091,5996|XR
0370,6999|0128,8496|0387,0602|0128,8496|949,60
0370,6999|0121,3996|0387,0602|0121,3996|475,10
0370,6999|0113,9496|0387,0602|0113,9496|399,00
0370,6999|0106,4995|0387,0602|0106,4995|542,70
0370,6999|0099,0495|0387,0602|0099,0495|399,00
0366,2499|0091,5995|0387,0721|0091,5995|1.955,10
0571,5999|0129,2495|0582,0110|0129,2495|0,00
0625,5999|0129,2495|0636,0110|0129,2495|0,00
0643,9499|0129,2495|0654,3610|0129,2495|0,00
0065,9499|0084,5495|0104,5876|0084,5495|TOUR: AMCOM
0221,9499|0073,1495|0229,3810|0073,1495|CA
0023,1999|0073,5495|0032,1237|0073,5495|139
0041,9499|0073,5495|0055,3249|0073,5495|TKTT
0065,9499|0073,5495|0095,6959|0073,5495|3146574626
0149,9499|0073,5495|0163,0253|0073,5495|FFFF
0262,7999|0073,5495|0288,0840|0073,5495| 35.073,60
0316,7999|0073,5495|0342,0840|0073,5495| 29.309,00
0790,7999|0073,5495|0816,0840|0073,5495| 35.073,60
0696,0999|0073,5495|0707,9983|0073,5495| 0,00
0113,9499|0073,5495|0137,4417|0073,5495|28NOV18
0532,7999|0073,5495|0558,0840|0073,5495| 29.309,00
0203,9499|0073,5495|0205,4372|0073,5495|I
0389,9499|0073,1495|0397,3811|0073,1495|AR
0389,9499|0065,6995|0397,6753|0065,6995|CU
0389,9499|0058,2495|0398,2745|0058,2495|QO
0389,9499|0050,7994|0397,3811|0050,7994|TQ
0389,9499|0043,3494|0397,3811|0043,3494|XR
0366,2499|0073,1494|0387,0721|0073,1494|2.051,60
0370,6999|0065,6994|0387,0602|0065,6994|987,50
0370,6999|0058,2494|0387,0602|0058,2494|395,00
0370,6999|0050,7994|0387,0602|0050,7994|395,00
0366,2499|0043,3494|0387,0721|0043,3494|1.935,50
0571,5999|0073,5494|0582,0110|0073,5494|0,00
0625,5999|0073,5494|0636,0110|0073,5494|0,00
0643,9499|0073,5494|0654,3610|0073,5494|0,00
0087,3999|0023,5494|0130,8055|0023,5494|01:05:50AM
0767,8499|0023,7494|0815,7394|0023,7494|Page : 00002
0029,4499|0023,5494|0078,6595|0023,5494|04-DEC-2018
