IATA Nº,Nº TICKET,FECHA,VOID,CIA,TARIFA,CONTADO,CREDITO,IMPUESTOS,IVA,COMISION,SUBTOTAL,NETO,OVER,FILE,(IVA),IVA COM,COMISION
12345678,9236074779,01-Abr,P,AZ,     8388.00,0.00,     8388.00,11432.90,0.00,     83.88,      -83.88,0.00,0.00,153891,0.00,0.00,     83.88
12345678,9236074780,01-Abr,P,AZ,     8388.00,     8388.00,0.00,11432.90,0.00,     83.88,    19737.02,0.00,0.00,153893,0.00,0.00,     83.88
12345678,9236057703,30-Mar,P,G3,     4167.00,     4167.00,0.00,2738.80,0.00,0.00,     6905.80,0.00,0.00,153580,0.00,0.00,0.00
12345678,9236057704,30-Mar,P,G3,     4167.00,     4167.00,0.00,2738.80,0.00,0.00,     6905.80,0.00,0.00,153580,0.00,0.00,0.00
12345678,9236057705,30-Mar,P,G3,     3128.00,     3128.00,0.00,2323.10,0.00,     93.84,     5357.26,0.00,0.00,153580,0.00,0.00,     93.84
12345678,9236057706,30-Mar,P,G3,     3128.00,     3128.00,0.00,2323.10,0.00,     93.84,     5357.26,0.00,0.00,153580,0.00,0.00,     93.84
12345678,9236057707,30-Mar,P,G3,     3128.00,     3128.00,0.00,2323.10,0.00,     93.84,     5357.26,0.00,0.00,153580,0.00,0.00,     93.84
12345678,9236057715,30-Mar,P,G3,     2167.00,0.00,     2167.00,1929.00,0.00,0.00,0.00,0.00,0.00,153439,0.00,0.00,0.00
12345678,9236057716,30-Mar,P,G3,     2167.00,0.00,     2167.00,1929.00,0.00,0.00,0.00,0.00,0.00,153439,0.00,0.00,0.00
12345678,9236057742,30-Mar,P,G3,     3066.00,     3066.00,0.00,2293.80,0.00,0.00,     5359.80,0.00,0.00,153713,0.00,0.00,0.00
12345678,9236057743,30-Mar,P,G3,     3066.00,     3066.00,0.00,2293.80,0.00,0.00,     5359.80,0.00,0.00,153713,0.00,0.00,0.00
12345678,9236057744,30-Mar,P,G3,     2299.00,     2299.00,0.00,1987.10,0.00,     68.97,     4217.13,0.00,0.00,153713,0.00,0.00,     68.97
12345678,9236057745,30-Mar,P,G3,     2299.00,     2299.00,0.00,1987.10,0.00,     68.97,     4217.13,0.00,0.00,153713,0.00,0.00,     68.97
12345678,9236057746,30-Mar,P,G3,     2299.00,     2299.00,0.00,1987.10,0.00,     68.97,     4217.13,0.00,0.00,153713,0.00,0.00,     68.97
12345678,9236074746,31-Mar,P,G3,     2504.00,        4.50,     4574.50,2075.00,0.00,0.00,        4.50,0.00,0.00,153745,0.00,0.00,0.00
12345678,9236074747,31-Mar,P,G3,     2504.00,        4.50,     4574.50,2075.00,0.00,0.00,        4.50,0.00,0.00,153745,0.00,0.00,0.00
12345678,9236074752,31-Mar,P,G3,     6553.00,0.00,     6553.00,3913.80,0.00,0.00,0.00,0.00,0.00,153835,0.00,0.00,0.00
12345678,9236074753,31-Mar,P,G3,     6553.00,0.00,     6553.00,3913.80,0.00,0.00,0.00,0.00,0.00,153835,0.00,0.00,0.00
12345678,9236074790,01-Abr,P,G3,     2011.00,0.00,     2011.00,1664.50,0.00,0.00,0.00,0.00,0.00,153843,0.00,0.00,0.00
12345678,9236074791,01-Abr,P,G3,     2011.00,0.00,     2011.00,1664.50,0.00,0.00,0.00,0.00,0.00,153843,0.00,0.00,0.00
12345678,9236074792,01-Abr,P,G3,      256.00,0.00,      256.00,102.40,0.00,0.00,0.00,0.00,0.00,153843,0.00,0.00,0.00
12345678,9236074797,01-Abr,P,G3,     2293.00,     2293.00,0.00,1972.20,0.00,0.00,     4265.20,0.00,0.00,153800,0.00,0.00,0.00
12345678,9236074798,01-Abr,P,G3,     2293.00,     2293.00,0.00,1972.20,0.00,0.00,     4265.20,0.00,0.00,153800,0.00,0.00,0.00
12345678,9236074799,01-Abr,P,G3,     2293.00,     2293.00,0.00,1972.20,0.00,0.00,     4265.20,0.00,0.00,153800,0.00,0.00,0.00
12345678,9236088219,01-Abr,P,G3,     6447.00,0.00,     6447.00,3871.40,0.00,0.00,0.00,0.00,0.00,153859,0.00,0.00,0.00
12345678,9236088220,01-Abr,P,G3,     6447.00,0.00,     6447.00,3871.40,0.00,0.00,0.00,0.00,0.00,153859,0.00,0.00,0.00
12345678,9236088223,01-Abr,P,G3,     2117.00,     2117.00,0.00,1919.80,0.00,0.00,     4036.80,0.00,0.00,153845,0.00,0.00,0.00
12345678,9236088224,01-Abr,P,G3,     2117.00,     2117.00,0.00,1919.80,0.00,0.00,     4036.80,0.00,0.00,153845,0.00,0.00,0.00
12345678,9236074750,31-Mar,P,IB,     8335.00,    13452.20,     5292.00,10409.20,0.00,     83.35,    13368.85,0.00,0.00,153529,0.00,0.00,     83.35
12345678,9236074751,31-Mar,P,IB,     8335.00,    13452.20,     5292.00,10409.20,0.00,     83.35,    13368.85,0.00,0.00,153529,0.00,0.00,     83.35
12345678,9236074776,01-Abr,P,IB,    29035.00,0.00,    29035.00,19785.80,0.00,0.00,0.00,0.00,0.00,153894,0.00,0.00,0.00
12345678,9236074777,01-Abr,P,IB,    29035.00,       -0.00,    48825.40,19790.40,0.00,0.00,       -0.00,0.00,0.00,153895,0.00,0.00,0.00
12345678,9236088209,01-Abr,P,IB,     9596.00,0.00,     9596.00,10830.40,0.00,     95.96,      -95.96,0.00,0.00,153897,0.00,0.00,     95.96
12345678,9236088210,01-Abr,P,IB,     9596.00,0.00,     9596.00,10830.40,0.00,     95.96,      -95.96,0.00,0.00,153897,0.00,0.00,     95.96
12345678,9236088211,01-Abr,P,IB,     9596.00,0.00,     9596.00,10830.40,0.00,     95.96,      -95.96,0.00,0.00,153897,0.00,0.00,     95.96
12345678,9236088212,01-Abr,P,IB,     9596.00,0.00,     9596.00,10830.40,0.00,     95.96,      -95.96,0.00,0.00,153897,0.00,0.00,     95.96
12345678,9236088213,01-Abr,P,IB,     6687.00,0.00,     6687.00,7962.50,0.00,     66.87,      -66.87,0.00,0.00,153898,0.00,0.00,     66.87
12345678,9236088214,01-Abr,P,IB,     6687.00,0.00,     6687.00,7962.50,0.00,     66.87,      -66.87,0.00,0.00,153898,0.00,0.00,     66.87
12345678,9236088215,01-Abr,P,IB,     6687.00,0.00,     6687.00,7962.50,0.00,     66.87,      -66.87,0.00,0.00,153898,0.00,0.00,     66.87
12345678,9236088216,01-Abr,P,IB,     6687.00,0.00,     6687.00,7962.50,0.00,     66.87,      -66.87,0.00,0.00,153898,0.00,0.00,     66.87
12345678,9236088217,01-Abr,P,IB,    37507.00,0.00,    37507.00,20233.10,0.00,    375.07,     -375.07,0.00,0.00,153900,0.00,0.00,    375.07
12345678,9236057708,30-Mar,P,LA,     1982.00,     1982.00,0.00,684.80,0.00,0.00,     2666.80,0.00,0.00,148602,0.00,0.00,0.00
12345678,9236057709,30-Mar,P,LA,     1982.00,     1982.00,0.00,684.80,0.00,0.00,     2666.80,0.00,0.00,148602,0.00,0.00,0.00
12345678,9236057747,30-Mar,P,LA,     1762.00,     1762.00,0.00,616.70,0.00,0.00,     2378.70,0.00,0.00,148602,0.00,0.00,0.00
12345678,9236088200,01-Abr,P,LA,     7938.00,     7938.00,0.00,4294.70,0.00,     79.38,    12153.32,0.00,    396.90,153844,0.00,0.00,     79.38
12345678,9236088202,01-Abr,P,LA,     7938.00,     7938.00,0.00,4294.70,0.00,     79.38,    12153.32,0.00,    396.90,153844,0.00,0.00,     79.38
12345678,9236088204,01-Abr,P,LA,     7938.00,     7938.00,0.00,4294.70,0.00,     79.38,    12153.32,0.00,    396.90,153844,0.00,0.00,     79.38
12345678,9236088207,01-Abr,P,LA,     7682.00,     7682.00,0.00,4192.30,0.00,     76.82,    11797.48,0.00,    384.10,153844,0.00,0.00,     76.82
12345678,9236057734,30-Mar,P,LH,    10237.00,    10237.00,0.00,10174.60,0.00,    102.37,    20309.23,0.00,0.00,153467,0.00,0.00,    102.37
12345678,9236057736,30-Mar,P,LH,    10237.00,    10237.00,0.00,10174.60,0.00,    102.37,    20309.23,0.00,0.00,153467,0.00,0.00,    102.37
12345678,9236057738,30-Mar,P,LH,    10237.00,    10237.00,0.00,10174.60,0.00,    102.37,    20309.23,0.00,0.00,153467,0.00,0.00,    102.37
12345678,9236074778,01-Abr,P,QR,     7938.00,0.00,     7938.00,5290.10,0.00,     79.38,      -79.38,0.00,    471.52,153870,0.00,0.00,     79.38
12345678,9236088229,01-Abr,P,QR,       44.00,       44.00,0.00,2414.50,0.00,0.00,     2458.50,0.00,0.00,153921,0.00,0.00,0.00
12345678,9236088230,01-Abr,P,QR,       44.00,       44.00,0.00,2414.50,0.00,0.00,     2458.50,0.00,0.00,153921,0.00,0.00,0.00
